Retailer,Range,Product Name,Size,Product Type,Unit,Revenue,Δ Unit YTD %,Δ Revenue YTD %
Shop Apotheke,SENSIBIO,SENSIBIO H2O DUO,2X500 ml,Cleansing,"8,964","€ 174,797",113.63%,122%
Shop Apotheke,SENSIBIO,SENSIBIO H2O,500 ml,Cleansing,"5,309","€ 76,980",9.87%,17%
Shop Apotheke,SENSIBIO,SENSIBIO GEL MOUSSANT,500 ml,Cleansing,"3,013","€ 46,401",48.35%,52%
ApoDiscounter,SENSIBIO,SENSIBIO H2O DUO,2X500 ml,Cleansing,"2,395","€ 54,141",38.60%,67%
DocMorris,SENSIBIO,SENSIBIO H2O DUO,2X500 ml,Cleansing,"2,020","€ 55,023",1823.81%,2693%
Shop Apotheke,SEBIUM,SEBIUM HYDRA,40 ml,Care,"1,627","€ 23,593",77.43%,95%
Shop Apotheke,SENSIBIO,SENSIBIO H2O AR,250 ml,Cleansing,"1,604","€ 16,665",-27.39%,-27%
MPK,SENSIBIO,SENSIBIO H2O DUO,2X500 ml,Cleansing,"1,409","€ 22,302",147.63%,109%
DocMorris,SENSIBIO,SENSIBIO GEL MOUSSANT,500 ml,Cleansing,"1,371","€ 20,310",1023.77%,1010%
Shop Apotheke,ATODERM,ATODERM INTENSIVE BAUME,500 ml,Care,"1,320","€ 30,625",66.88%,71%
Shop Apotheke,ATODERM,ATODERM HUILE DE DOUCHE,1 l,Care,"1,237","€ 23,131",94.80%,102%
TNA,SENSIBIO,SENSIBIO H2O,500 ml,Cleansing,"1,150","€ 11,998",0.00%,0%
Shop Apotheke,SENSIBIO,SENSIBIO H2O,100 ml,Cleansing,"1,117","€ 6,624",-17.75%,-11%
Shop Apotheke,PIGMENTBIO,PIGMENTBIO SENSITIVE AREAS,75 ml,Care,"1,056","€ 20,992",0.00%,0%
Shop Apotheke,SENSIBIO,SENSIBIO AR BB CREAM SPF 30,40 ml,Care,"1,025","€ 19,885",15.69%,20%
Shop Apotheke,ATODERM,ATODERM CREAM ULTRA,500 ml,Care,967,"€ 16,729",-37.73%,-31%
TNA,ATODERM,ATODERM HUILE DE DOUCHE,1 l,Care,965,"€ 12,315",0.00%,0%
MedPex,SENSIBIO,SENSIBIO H2O DUO,2X500 ml,Cleansing,951,"€ 46,480",128.61%,496%
ApoDiscounter,SENSIBIO,SENSIBIO H2O AR,250 ml,Cleansing,948,"€ 7,470",17.47%,-11%
Shop Apotheke,SENSIBIO,SENSIBIO H2O,250 ml,Cleansing,925,"€ 9,297",21.87%,30%
Shop Apotheke,HYDRABIO,HYDRABIO TONIQUE,250 ml,Care,919,"€ 11,855",102.42%,114%
Shop Apotheke,SEBIUM,SEBIUM GEL MOUSSANT,500 ml,Cleansing,867,"€ 13,352",44.02%,48%
Shop Apotheke,SENSIBIO,SENSIBIO DEFENSIVE,40 ml,Care,801,"€ 12,816",229.63%,252%
ApoDiscounter,SENSIBIO,SENSIBIO AR+ CREME,40 ml,Care,758,"€ 11,210",0.00%,0%
Shop Apotheke,SENSIBIO,SENSIBIO AR+ CREME,40 ml,Care,750,"€ 14,024",0.00%,0%
Shop Apotheke,SENSIBIO,SENSIBIO GEL MOUSSANT,200 ml,Cleansing,729,"€ 8,675",12.85%,17%
ApoDiscounter,SENSIBIO,SENSIBIO GEL MOUSSANT,200 ml,Cleansing,723,"€ 6,599",119.76%,74%
Shop Apotheke,SEBIUM,SEBIUM PORE REFINER,30 ml,Care,720,"€ 11,051",-29.27%,-28%
Shop Apotheke,SEBIUM,SEBIUM H2O,500 ml,Cleansing,712,"€ 10,324",-2.33%,4%
Shop Apotheke,SENSIBIO,SENSIBIO EYE,15 ml,Care,689,"€ 10,197",12.21%,20%
TNA,ATODERM,ATODERM GEL DOUCHE,1 l,Cleansing,679,"€ 7,730",0.00%,0%
Shop Apotheke,PHOTODERM,PHOTODERM AR SPF 50+,30 ml,Sun Care,658,"€ 11,429",-19.16%,-19%
Shop Apotheke,SEBIUM,SEBIUM SENSITIVE,30 ml,Care,656,"€ 9,512",48.75%,55%
Shop Apotheke,SENSIBIO,SENSIBIO DS+ CREAM,40 ml,Care,633,"€ 9,686",-10.85%,-9%
Shop Apotheke,SEBIUM,SEBIUM MAT CONTROL,30 ml,Care,623,"€ 8,471",136.88%,144%
Shop Apotheke,HYDRABIO,HYDRABIO GEL-CREAM,40 ml,Care,588,"€ 10,435",119.40%,134%
Shop Apotheke,HYDRABIO,HYDRABIO H2O DUO,2X500 ml,Cleansing,579,"€ 11,291",-22.39%,-19%
Shop Apotheke,ATODERM,ATODERM STICK LEVRES,4 g,Care,548,"€ 2,532",23.70%,26%
Shop Apotheke,ATODERM,ATODERM INTENSIVE EYE,100 ml,Care,543,"€ 10,426",4.22%,7%
Shop Apotheke,CICABIO,CICABIO CREAM+ SPF 50+,30  ml,Care,530,"€ 5,882",211.76%,220%
TNA,SEBIUM,SEBIUM GEL MOUSSANT,500 ml,Cleansing,521,"€ 5,729",0.00%,0%
DocMorris,SENSIBIO,SENSIBIO H2O AR,250 ml,Cleansing,518,"€ 5,687",161.62%,176%
ApoDiscounter,SENSIBIO,SENSIBIO EYE,15 ml,Care,510,"€ 4,838",32.47%,-9%
Shop Apotheke,HYDRABIO,HYDRABIO SERUM,40 ml,Care,507,"€ 10,903",16.82%,22%
ApoDiscounter,HYDRABIO,HYDRABIO H2O DUO,2X500 ml,Cleansing,496,"€ 7,522",132.86%,88%
Shop Apotheke,NODE,NODE DS+,125 ml,Care,491,"€ 6,481",88.85%,93%
Shop Apotheke,SENSIBIO,SENSIBIO GEL MOUSSANT,100 ml,Cleansing,489,"€ 3,032",-5.96%,-2%
ApoDiscounter,SENSIBIO,SENSIBIO DEFENSIVE,40 ml,Care,476,"€ 7,513",18.11%,24%
DocMorris,SENSIBIO,SENSIBIO H2O,500 ml,Cleansing,474,"€ 14,954",-20.74%,84%
Shop Apotheke,SENSIBIO,SENSIBIO DEFENSIVE RICH,40 ml,Care,456,"€ 7,296",-27.96%,-23%
Shop Apotheke,ATODERM,ATODERM GEL DOUCHE,1 l,Cleansing,451,"€ 6,269",8.67%,11%
Shop Apotheke,SENSIBIO,SENSIBIO DEFENSIVE SERUM,30 ml,Care,450,"€ 12,286",-13.13%,-10%
Shop Apotheke,ATODERM,ATODERM INTENSIVE BAUME,75 ml,Care,436,"€ 3,619",88.74%,95%
Shop Apotheke,PIGMENTBIO,PIGMENTBIO FOAMING CREAM,200 ml,Cleansing,430,"€ 6,450",505.63%,506%
ApoDiscounter,SEBIUM,SEBIUM HYDRA,40 ml,Care,423,"€ 6,423",34.71%,55%
ApoDiscounter,SENSIBIO,SENSIBIO AR BB CREAM SPF 30,40 ml,Care,420,"€ 7,014",50.54%,34%
Shop Apotheke,ATODERM,ATODERM MAINS & ONGLES,50 ml,Care,417,"€ 2,294",45.30%,53%
Shop Apotheke,HYDRABIO,HYDRABIO PERFECTEUR SPF 30,40 ml,Care,405,"€ 7,574",62.65%,68%
Shop Apotheke,CICABIO,CICABIO CREAM+,40 ml,Care,396,"€ 4,039",355.17%,416%
ApoDiscounter,HYDRABIO,HYDRABIO TONIQUE,250 ml,Care,395,"€ 4,376",42.60%,29%
TNA,SENSIBIO,SENSIBIO H2O DUO,2X500 ml,Cleansing,394,"€ 9,540",,
Shop Apotheke,ATODERM,ATODERM LEVRES,15 ml,Care,389,"€ 2,917",26.30%,29%
ApoDiscounter,SENSIBIO,SENSIBIO H2O,500 ml,Cleansing,380,"€ 12,088",-31.65%,60%
Zalando,SENSIBIO,SENSIBIO H2O,500 ml,Cleansing,371,"€ 13,757",290.53%,965%
DocMorris,SENSIBIO,SENSIBIO AR BB CREAM SPF 30,40 ml,Care,364,"€ 8,316",487.10%,615%
Shop Apotheke,ATODERM,ATODERM INTENSIVE BAUME,200 ml,Care,364,"€ 5,569",43.87%,47%
MedPex,SENSIBIO,SENSIBIO H2O,500 ml,Cleansing,355,"€ 15,099",14.52%,258%
MPK,SENSIBIO,SENSIBIO H2O AR,250 ml,Cleansing,343,"€ 3,024",28.95%,9%
ApoDiscounter,ATODERM,ATODERM INTENSIVE BAUME,500 ml,Care,339,"€ 8,613",429.69%,494%
Shop Apotheke,SENSIBIO,SENSIBIO MASK,75 ml,Cleansing,336,"€ 5,578",17.89%,19%
