Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Results,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Social , meta , BIODERMA ,Aug-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 15,"10,008",80.40%,€ 0.00,"12,452",2,0.00%,"10,008","12,298",26,177,1.40%,€ 7.50,€ 1.20,0.20%,€ 0.00,€ 0.08
 Paid Social , meta , BIODERMA ,Aug-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 48,"1,462",19.40%,€ 0.03,"7,528",0,0.00%,"7,327","10,907","1,462","4,461",59.30%, € -   ,€ 6.34,13.40%,€ 0.00,€ 0.01
 Paid Social , meta , BIODERMA ,Aug-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 146,"87,413",73.30%,€ 0.00,"119,321",26,0.00%,"87,413","128,091",241,"2,063",1.70%,€ 5.60,€ 1.22,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Aug-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 52,"1,704",26.60%,€ 0.03,"6,416",0,0.00%,"6,416","8,697","1,704","4,299",67.00%, € -   ,€ 8.13,19.60%,€ 0.01,€ 0.01
 Paid Social , meta , BIODERMA ,Aug-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 149,"93,420",73.80%,€ 0.00,"126,534",33,0.00%,"93,420","135,857",239,"1,945",1.50%,€ 4.51,€ 1.18,0.20%,€ 0.00,€ 0.08
 Paid Social , tiktok , Shop Apotheke ,Jun-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 722,832,0.20%,€ 0.87,"339,062",697,0.20%,"168,392","337,708",832,507,72.70%,€ 1.04,€ 2.13,0.20%,€ 0.87,€ 1.42
 Paid Social , tiktok , Shop Apotheke ,Jun-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 95,119,0.30%,€ 0.80,"45,420",68,0.10%,"34,526","45,251",119,63,92.60%,€ 1.40,€ 2.10,0.30%,€ 0.80,€ 1.51
 Paid Social , youtube , BIODERMA ,Apr-25,Awareness,de_bio_gads_ytb_promotion_sensibio_30-years-sensibio-h2o_awareness,ThruPlay,€ 926,"77,033",43.50%,€ 0.01,"177,183",153,0.10%,"177,183","48,076","14,726","77,019",43.50%,€ 6.05,€ 5.23,30.60%,€ 0.02,€ 0.01
 Paid Social , tiktok , - ,Jul-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 380,491,0.40%,€ 0.77,"140,094",0,0.00%,"73,200","139,617",491,98,0.00%, € -   ,€ 2.71,0.40%,€ 0.77,€ 3.88
 Paid Social , tiktok , - ,Jun-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 80,110,0.40%,€ 0.73,"25,363",0,0.00%,"20,818","25,270",110,39,0.00%, € -   ,€ 3.17,0.40%,€ 0.73,€ 2.06
 Paid Social , tiktok , - ,Jun-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 80,113,0.40%,€ 0.71,"26,967",0,0.00%,"20,894","26,851",113,39,0.00%, € -   ,€ 2.98,0.40%,€ 0.71,€ 2.06
 Paid Social , tiktok , - ,Jun-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 80,59,0.20%,€ 1.36,"35,679",0,0.00%,"27,722","35,549",59,24,0.00%, € -   ,€ 2.25,0.20%,€ 1.36,€ 3.34
 Paid Social , tiktok , - ,Jun-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 80,51,0.20%,€ 1.57,"32,376",0,0.00%,"24,394","32,261",51,19,0.00%, € -   ,€ 2.48,0.20%,€ 1.57,€ 4.22
 Paid Social , tiktok , - ,Jun-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 80,46,0.10%,€ 1.74,"36,271",0,0.00%,"28,176","36,118",46,7,0.00%, € -   ,€ 2.21,0.10%,€ 1.74,€ 11.45
 Paid Social , tiktok , - ,Jun-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 80,213,0.60%,€ 0.38,"33,607",0,0.00%,"22,090","33,489",213,8,0.00%, € -   ,€ 2.39,0.60%,€ 0.38,€ 10.02
 Paid Social , tiktok , - ,Jun-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 80,79,0.30%,€ 1.01,"29,402",0,0.00%,"22,235","29,304",79,24,0.00%, € -   ,€ 2.72,0.30%,€ 1.01,€ 3.34
 Paid Social , tiktok , - ,Jun-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 0,0,0.00%, € -   ,36,0,0.00%,32,36,0,0,0.00%, € -   ,€ 0.28,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Aug-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 57,"1,837",25.20%,€ 0.03,"7,287",0,0.00%,"7,190","9,882","1,837","5,078",69.70%, € -   ,€ 7.82,18.60%,€ 0.01,€ 0.01
 Paid Social , tiktok , - ,Aug-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 259,"1,361",2.00%,€ 0.19,"66,416",0,0.00%,"33,758","66,206","1,361",30,0.00%, € -   ,€ 3.90,2.10%,€ 0.19,€ 8.64
 Paid Social , tiktok , - ,Aug-25,Awareness,de_bio_tiktok_acq_boosted-post_photoderm_na_awareness,ThruPlay,€ 259,944,1.00%,€ 0.27,"95,638",0,0.00%,"42,730","95,274",944,24,0.00%, € -   ,€ 2.70,1.00%,€ 0.27,€ 10.78
