Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Results,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Social , meta , Shop Apotheke ,Aug-25,Consideration,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 14,395,25.30%,€ 0.03,"1,564",0,0.00%,"1,559","2,358",395,939,60.00%, € -   ,€ 8.76,16.80%,€ 0.01,€ 0.01
 Paid Social , meta , BIODERMA ,Apr-25,Consideration,de_bio_all_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,ThruPlay,€ 31,53,2.30%,€ 10.48,"2,313",25,1.10%,"2,246","2,488",53,384,16.60%,€ 1.26,€ 13.60,2.10%,€ 0.01,€ 0.08
 Paid Social , meta , BIODERMA ,Apr-25,Consideration,de_bio_all_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,ThruPlay,€ 44,74,3.00%,€ 4.85,"2,497",23,0.90%,"2,373","3,939",74,381,15.30%,€ 1.90,€ 17.50,1.90%,€ 0.01,€ 0.11
 Paid Social , meta , BIODERMA ,Apr-25,Consideration,de_bio_all_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,ThruPlay,€ 41,68,2.70%,€ 5.17,"2,522",24,1.00%,"2,414","3,888",68,366,14.50%,€ 1.72,€ 16.38,1.70%,€ 0.01,€ 0.11
 Paid Social , meta , BIODERMA ,Apr-25,Consideration,de_bio_all_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,ThruPlay,€ 19,41,2.60%,€ 18.99,"1,559",12,0.80%,"1,485","1,534",41,207,13.30%,€ 1.58,€ 12.18,2.70%,€ 0.01,€ 0.09
 Paid Social , meta , BIODERMA ,Apr-25,Consideration,de_bio_all_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,ThruPlay,€ 30,35,1.90%,€ 14.76,"1,827",15,0.80%,"1,758","1,929",35,309,16.90%,€ 1.97,€ 16.16,1.80%,€ 0.02,€ 0.10
 Paid Social , meta , BIODERMA ,Apr-25,Consideration,de_bio_all_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,ThruPlay,€ 29,30,1.90%,€ 9.72,"1,560",20,1.30%,"1,487","1,649",30,339,21.70%,€ 1.46,€ 18.69,1.80%,€ 0.02,€ 0.09
 Paid Social , meta , BIODERMA ,Apr-25,Consideration,de_bio_all_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,ThruPlay,€ 40,77,2.90%,€ 4.03,"2,632",32,1.20%,"2,477","4,110",77,427,16.20%,€ 1.26,€ 15.31,1.90%,€ 0.01,€ 0.09
 Paid Social , tiktok , - ,May-25,Consideration,de_bio_tiktok_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,ThruPlay,€ 464,"3,671",1.30%,€ 0.13,"280,175",15,0.00%,"152,385","277,124","3,671",421,2806.70%,€ 30.90,€ 1.65,1.30%,€ 0.13,€ 1.10
 Paid Social , tiktok , - ,May-25,Consideration,de_bio_tiktok_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,ThruPlay,€ 136,483,0.70%,€ 0.28,"71,362",0,0.00%,"54,128","70,705",483,223,0.00%, € -   ,€ 1.91,0.70%,€ 0.28,€ 0.61
