Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Result,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Search , google , BIODERMA ,Aug-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 95,178,7.90%,€ 0.53,"2,241",178,7.90%,"2,241",0,0,0,0.00%,€ 0.53,€ 42.37,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Aug-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 135,226,8.30%,€ 0.60,"2,728",226,8.30%,"2,728",0,0,0,0.00%,€ 0.60,€ 49.53,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Aug-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 132,200,8.10%,€ 0.66,"2,484",200,8.10%,"2,484",0,0,0,0.00%,€ 0.66,€ 53.04,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Aug-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 132,191,9.80%,€ 0.69,"1,946",191,9.80%,"1,946",0,0,0,0.00%,€ 0.69,€ 68.05,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Aug-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 104,178,8.10%,€ 0.59,"2,186",178,8.10%,"2,186",0,0,0,0.00%,€ 0.59,€ 47.75,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 113,189,9.60%,€ 0.60,"1,962",189,9.60%,"1,962",0,0,0,0.00%,€ 0.60,€ 57.70,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 112,192,10.20%,€ 0.58,"1,881",192,10.20%,"1,881",0,0,0,0.00%,€ 0.58,€ 59.42,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 119,179,9.50%,€ 0.67,"1,886",179,9.50%,"1,886",0,0,0,0.00%,€ 0.67,€ 63.21,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Apr-25,Conversion,de_bio_all_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,Clicks,€ 10,1,0.10%,€ 9.94,818,3,0.40%,792,851,18,112,13.70%,€ 3.31,€ 12.15,2.10%,€ 0.01,€ 0.09
 Paid Social , meta , BIODERMA ,Apr-25,Conversion,de_bio_all_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,Clicks,€ 21,4,0.30%,€ 5.16,"1,303",13,1.00%,"1,258","2,036",38,210,16.10%,€ 1.59,€ 15.85,1.90%,€ 0.01,€ 0.10
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 132,199,10.30%,€ 0.66,"1,932",199,10.30%,"1,932",0,0,0,0.00%,€ 0.66,€ 68.17,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 201,266,8.50%,€ 0.76,"3,118",266,8.50%,"3,118",0,0,0,0.00%,€ 0.76,€ 64.57,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 90,176,7.80%,€ 0.51,"2,264",176,7.80%,"2,264",0,0,0,0.00%,€ 0.51,€ 39.94,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 88,183,8.70%,€ 0.48,"2,101",183,8.70%,"2,101",0,0,0,0.00%,€ 0.48,€ 41.99,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 99,198,8.00%,€ 0.50,"2,476",198,8.00%,"2,476",0,0,0,0.00%,€ 0.50,€ 39.87,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 82,164,8.80%,€ 0.50,"1,866",164,8.80%,"1,866",0,0,0,0.00%,€ 0.50,€ 43.70,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 97,163,8.90%,€ 0.59,"1,830",163,8.90%,"1,830",0,0,0,0.00%,€ 0.59,€ 52.87,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 127,193,10.40%,€ 0.66,"1,852",193,10.40%,"1,852",0,0,0,0.00%,€ 0.66,€ 68.45,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 129,160,8.40%,€ 0.81,"1,909",160,8.40%,"1,909",0,0,0,0.00%,€ 0.81,€ 67.77,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 140,147,8.20%,€ 0.95,"1,801",147,8.20%,"1,801",0,0,0,0.00%,€ 0.95,€ 77.72,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 157,235,11.40%,€ 0.67,"2,053",235,11.40%,"2,053",0,0,0,0.00%,€ 0.67,€ 76.70,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 260,282,7.30%,€ 0.92,"3,884",282,7.30%,"3,884",0,0,0,0.00%,€ 0.92,€ 67.04,0.00%, € -   , € -   
