Date,Channel,Product,Unit,Revenue
Jan-24,Pharmacies,BIODERMA ATODERM CR.N/TR.PUMP 500ML,15,€ 244
Jan-24,Pharmacies,BIODERMA ATODERM CR.N/TR.TUBE 200ML,2,€ 21
Jan-24,Pharmacies,BIODERMA ATODERM CR.TROCKEN 200ML,0,€ 0
Jan-24,Pharmacies,BIODERMA ATODERM CR.TROCKEN 500ML,19,€ 324
Jan-24,Pharmacies,BIODERMA ATODERM HANDCREME 2018-- 50ML,18,€ 69
Jan-24,Pharmacies,BIODERMA ATODERM KOERPERMILCH 200ML,3,€ 37
Jan-24,Pharmacies,BIODERMA HYDRABIO REINIG.MILCH 250ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHO.BRONZ TRO.SPR.V2 30LF 200ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHO.BRONZ TROCK.SPRAY 30LF 200ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHOTERPES LIPPENST.50+ 50LF 4G,1,€ 13
Jan-24,Pharmacies,BIODERMA PHOTO.MAX SONN.SPR.50+ 50LF 150ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHOTO.SKI CREM&STI.50+ 50LF 20ML,3,€ 37
Jan-24,Pharmacies,BIODERMA PHOTODERM AQ.FL.PO.CR. 3199-- 30ML,0,€ 0
Jan-24,Pharmacies,BIODERMA SENSI.H2O MIZELL.WASS. MILD 250ML,"1,440","€ 17,552"
Jan-24,Pharmacies,BIODERMA SEBIU.H2O REINIG.LOT. 250ML,217,"€ 2,631"
Jan-24,Pharmacies,BIODERMA SEBIUM PEELING GEL 100ML,130,"€ 2,007"
Jan-24,Pharmacies,BIODERMA SENSI.DS+ CREME 470-- 40ML,257,"€ 4,824"
Jan-24,Pharmacies,BIODERMA SENSI.RI. CREME RICH 40ML,2,€ 24
Jan-24,Pharmacies,BIODERMA SENSIB.AR CREME 40ML,"1,168","€ 26,010"
Jan-24,Pharmacies,BIODERMA NODE K SHAMP.SCHUPP 150ML,87,"€ 1,444"
Jan-24,Pharmacies,BIODERMA CICABIO WUNDPFLE.CRE 40ML,620,"€ 7,184"
Jan-24,Pharmacies,BIODERMA PHOTO.MAX CR.UNGET.50+ 50LF 40ML,3,€ 63
Jan-24,Pharmacies,BIODERMA SENSI.H2O MIZELL.WASS. 500ML,"2,615","€ 42,588"
Jan-24,Pharmacies,BIODERMA SEBIU.H2O REINIG.LOT. 500ML,424,"€ 7,157"
Jan-24,Pharmacies,BIODERMA SEB.HYDRA CREME 40ML,"1,064","€ 18,136"
Jan-24,Pharmacies,BIODERMA SENSI.LI. CRE.BERUHIG. 40ML,2,€ 52
Jan-24,Pharmacies,BIODERMA SENSIBIO REINIG.MILCH 250ML,99,"€ 1,586"
Jan-24,Pharmacies,BIODERMA SENSIBIO GEL AUGENPFL 15ML,793,"€ 14,156"
Jan-24,Pharmacies,BIODERMA SENSI.MA. MASK.BERUHIG 75ML,179,"€ 3,656"
Jan-24,Pharmacies,BIODERMA HYDRABIO FEUCHT.MASKE 75ML,40,€ 826
Jan-24,Pharmacies,BIODERMA HYDRABIO SERUM FEUCHT 40ML,382,"€ 9,444"
Jan-24,Pharmacies,BIODERMA ATODER.PP BALSAM 200ML,152,"€ 2,623"
Jan-24,Pharmacies,BIODERMA ATODERM HANDCREME 50ML,"1,003","€ 5,569"
Jan-24,Pharmacies,BIODERMA ATODERM STI.LIPP.PFL 4G,50,€ 268
Jan-24,Pharmacies,BIODERMA SEBIUM REI.G.MOUSS. 7142-- 200ML,422,"€ 6,113"
Jan-24,Pharmacies,BIODERMA SEB.PO.RE CREME 30ML,247,"€ 4,518"
Jan-24,Pharmacies,BIODERMA PH.AKN M. SONNEN FLUID 30LF 40ML,9,€ 178
Jan-24,Pharmacies,BIODERMA PHOTO.AR CR.GETOE.50+ 50LF 30ML,0,€ 0
Jan-24,Pharmacies,BIODERMA NODE FL. SHAMPOO 200ML,95,"€ 1,065"
Jan-24,Pharmacies,BIODERMA PHO.AUTO. SP.SELBSTBR. 150ML,0,€ 0
Jan-24,Pharmacies,BIODERMA HYDRABIO H2O 4IN1 MIZ 250ML,211,"€ 2,544"
Jan-24,Pharmacies,BIODERMA HYDRABIO GES.WASS.TON 200ML,247,"€ 3,772"
Jan-24,Pharmacies,BIODERMA SENSI.H2O MIZELL.WASS. 100ML,"1,427","€ 10,410"
Jan-24,Pharmacies,BIODERMA SEBIU.H2O REINIG.LOT. 100ML,202,"€ 1,482"
Jan-24,Pharmacies,BIODERMA SENSI.H2O MIZ.WA.PUMP 500ML,381,"€ 7,385"
Jan-24,Pharmacies,BIODERMA SEBIU.H2O LOTION PUMP 500ML,58,"€ 1,115"
Jan-24,Pharmacies,BIODERMA SEBIUM CREME GLOBAL 30ML,216,"€ 3,903"
Jan-24,Pharmacies,BIODERMA CICABIO CREM.ARNIKA+ 40ML,102,"€ 1,201"
Jan-24,Pharmacies,BIODERMA ATODERM DUSCHGEL 500ML,397,"€ 4,936"
Jan-24,Pharmacies,BIODERMA SE.H2O AR LOESUNG 250ML,"1,183","€ 15,475"
Jan-24,Pharmacies,BIODERMA ATODERM LIPP.BAL.BAU 15ML,633,"€ 5,889"
Jan-24,Pharmacies,BIODERMA SEBIUM REI.G.MOUSS. 500ML,435,"€ 8,338"
Jan-24,Pharmacies,BIODERMA ATODE.INT BALS.NEUROD. 75ML,329,"€ 3,382"
Jan-24,Pharmacies,BIODERMA ATODE.INT BALS.NEUROD. 200ML,598,"€ 11,431"
Jan-24,Pharmacies,BIODERMA CICABIO WUND.CR.50+ 50LF 30ML,135,"€ 1,804"
Jan-24,Pharmacies,BIODERMA ATODE.INT BALS.NEUROD. 500ML,539,"€ 15,458"
Jan-24,Pharmacies,BIODERMA ATODE.INT GEL MOUSSANT 200ML,80,€ 960
Jan-24,Pharmacies,BIODERMA HYDRABIO PERFECTEUR 30LF 40ML,181,"€ 4,142"
Jan-24,Pharmacies,BIODERMA HYDRABIO H2O 4IN1 MIZ 100ML,214,"€ 1,517"
Jan-24,Pharmacies,BIODERMA HYDRABIO H2O 4IN1 MIZ 500ML,251,"€ 3,794"
Jan-24,Pharmacies,BIODERMA PHOTO.MAX AQU.FL.U.50+ 50LF 40ML,3,€ 53
Jan-24,Pharmacies,BIODERMA PHOTO.MAX AQU.FL.H.50+ 50LF 40ML,0,€ 0
Jan-24,Pharmacies,BIODERMA CICABIO WUNDPFLE.SAL 40ML,235,"€ 2,698"
Jan-24,Pharmacies,BIODERMA SENSIBIO REINIG.GEL 200ML,973,"€ 14,126"
Jan-24,Pharmacies,BIODERMA HYDRABIO CREME POT 50ML,323,"€ 7,390"
Jan-24,Pharmacies,BIODERMA HYDRABIO GEL CREME 40ML,333,"€ 6,925"
Jan-24,Pharmacies,BIODERMA SEBIU.MAT FL.MATT.CONT 30ML,184,"€ 3,108"
Jan-24,Pharmacies,BIODERMA PHOTOD.M CR.A.PIG.50+ 50LF 40ML,0,€ 0
Jan-24,Pharmacies,BIODERMA ATODERM HUILE D DOU. 200ML,368,"€ 4,545"
Jan-24,Pharmacies,BIODERMA ATODERM DUSCHGEL 1000ML,3,€ 43
Jan-24,Pharmacies,BIODERMA ATODERM HUILE D DOU. 1000ML,3,€ 72
Jan-24,Pharmacies,BIODERMA SEBI.SENS CREME 30ML,337,"€ 6,232"
Jan-24,Pharmacies,BIODERMA ATODE.SOS SPRAY 50ML,1,€ 12
Jan-24,Pharmacies,BIODERMA ATODE.SOS SPRAY 8977-- 200ML,7,€ 156
Jan-24,Pharmacies,BIODERMA HYDRABIO H20 MIZ.PUMP 500ML,40,€ 771
Jan-24,Pharmacies,BIODERMA SENSIBIO REINIG.GEL 500ML,483,"€ 9,377"
Jan-24,Pharmacies,BIODERMA SEBIUM CR.NI.PEEL 40ML,80,"€ 1,767"
Jan-24,Pharmacies,BIODERMA PHOTO.SP. G.CR.AGE 50+ 50LF 8559--,10,€ 233
Jan-24,Pharmacies,BIODERMA SENSI.H2O REIN.LOE.JUB 500ML,0,€ 0
Jan-24,Pharmacies,BIODERMA ATODE.INT GEL CREME 75ML,128,"€ 1,258"
Jan-24,Pharmacies,BIODERMA ATODE.INT GEL CREME 200ML,112,"€ 2,106"
Jan-24,Pharmacies,BIODERMA SEBIUM REI.G.MOUSS. 100ML,217,"€ 1,680"
Jan-24,Pharmacies,BIODERMA HYDRABIO H2O MIZ.REIN 2 500ML,381,"€ 8,912"
Jan-24,Pharmacies,BIODERMA SEBIU.H2O REINIG.LOT. 2 500ML,475,"€ 11,015"
Jan-24,Pharmacies,BIODERMA SENSI.H2O REINIG.LOT. 2 500ML,"2,376","€ 56,659"
Jan-24,Pharmacies,BIODERMA SENSIBIO REINIG.GEL 100ML,496,"€ 3,855"
Jan-24,Pharmacies,BIODERMA SEBIUM REI.G.MOUSS. 200ML,96,"€ 1,335"
Jan-24,Pharmacies,BIODERM.BIPH.LIP.A DESINF.HAEND 100ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHOTO.MAX S.SP.50+2885 50LF 200ML,0,€ 0
Jan-24,Pharmacies,BIODERMA ATODE.INT GEL CREME 500ML,54,"€ 1,559"
Jan-24,Pharmacies,BIODERMA SEBIUM REI.G.M.AKT. 200ML,249,"€ 4,067"
Jan-24,Pharmacies,BIODERMA XMAS HYD CRE 2021--,-2,-€ 44
Jan-24,Pharmacies,BIODERMA XMAS SEN EYE 2021--,5,€ 89
Jan-24,Pharmacies,BIODERMA ATODE.INT AUGENCREME 100ML,422,"€ 9,905"
Jan-24,Pharmacies,BIODERMA PHOTO.SET AQUA-SET,0,€ 0
Jan-24,Pharmacies,BIODERMA PH.APR.S. CREME 200ML,10,€ 151
Jan-24,Pharmacies,BIODERMA PHOTODERM AQU.FL.H.50+ 50LF 40ML,9,€ 185
Jan-24,Pharmacies,BIODERMA PHOTODERM AQU.FL.U.50+ 50LF 40ML,11,€ 226
Jan-24,Pharmacies,BIODERMA PHOTODERM AQ.FL.PO.CR. 9865-- 30ML,-12,-€ 120
Jan-24,Pharmacies,BIODERMA PHO.AUTO. SPRAY 150ML,11,€ 175
Jan-24,Pharmacies,BIODERMA PHOTO.KID SONN.CRE.50+ 50LF 100ML,2,€ 19
Jan-24,Pharmacies,BIODERMA PHOTODERM CR.UNGET.50+ 50LF 40ML,76,"€ 1,571"
Jan-24,Pharmacies,BIODERMA PHOTODERM CR.HELL 50+ 50LF 40ML,24,€ 503
Jan-24,Pharmacies,BIODERMA PHOTODERM SPRAY 50+ 50LF 200ML,27,€ 590
Jan-24,Pharmacies,BIODERMA PH.AKN M. CREME 30-- 40ML,81,"€ 1,758"
Jan-24,Pharmacies,BIODERMA PHOTO.AR CREME 50+ 50LF 30ML,188,"€ 4,189"
Jan-24,Pharmacies,BIODERMA PHOTO.SP. G.CR.AGE 50+ 50LF 9983--,44,€ 936
Jan-24,Pharmacies,BIODERMA PHOTODERM SP.MINER 50+ 50LF 75G,35,€ 743
Jan-24,Pharmacies,BIODERMA PHOTODERM SPRAY 50+ 50LF 400ML,11,€ 316
Jan-24,Pharmacies,BIODERMA SENSIB.AR SET 5963--,3,€ 77
Jan-24,Pharmacies,BIODERMA SENSI.H2O SET,5,€ 31
Jan-24,Pharmacies,BIODERMA HYDRABIO H2O-SET,6,€ 61
Jan-24,Pharmacies,BIODERMA SEBIU.H2O SET,17,€ 156
Jan-24,Pharmacies,BIODERMA SENSIB.AR CREME BB NEU 30LF 40ML,538,"€ 12,865"
Jan-24,Pharmacies,BIODERMA SENS.DEF. TUBE 40ML,613,"€ 11,830"
Jan-24,Pharmacies,BIODERMA SEN.DEF.R TUBE 40ML,559,"€ 10,657"
Jan-24,Pharmacies,BIODERMA ATODERM DUSCHGEL 100ML,41,€ 237
Jan-24,Pharmacies,BIODERMA ATODERM HUILE D DOU. 100ML,62,€ 438
Jan-24,Pharmacies,BIODERMA NODE DS+ SHAMPOO NEU 125ML,138,"€ 2,311"
Jan-24,Pharmacies,BIODERMA ATODERM SET,19,€ 425
Jan-24,Pharmacies,BIODERMA ATODERM DUSCHGEL NEU 1000ML,136,"€ 2,308"
Jan-24,Pharmacies,BIODERMA ATODERM HUIL.DOU.NEU 1000ML,177,"€ 4,074"
Jan-24,Pharmacies,BIODERMA HYDRABIO GEL-CREM.SET,7,€ 148
Jan-24,Pharmacies,BIODERMA SENSI.H2O REIN.LOE.EYE 125ML,271,"€ 4,172"
Jan-24,Pharmacies,BIODERMA SEB.KERA+ CREME GEL 30ML,237,"€ 4,525"
Jan-24,Pharmacies,BIODERMA XMAS SEN EYE 22--,11,€ 166
Jan-24,Pharmacies,BIODERMA XMAS SEN DEFEN 22--,10,€ 157
Jan-24,Pharmacies,BIODERMA XMAS HYD SERUM 22--,2,€ 63
Jan-24,Pharmacies,BIODERMA ATODERM LIPPENSTICK 4G,"1,253","€ 7,263"
Jan-24,Pharmacies,BIODERMA ATODERM CREME ULTRA 500ML,565,"€ 11,124"
Jan-24,Pharmacies,BIODERMA ATODERM CREME ULTRA 200ML,353,"€ 4,172"
Jan-24,Pharmacies,BIODERMA PHOTODERM SPR.FAMI.50+ 50LF 300ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHOTODERM AQUAFLUIDE 50LF 40ML,108,"€ 2,162"
Jan-24,Pharmacies,BIODERMA PHOTO.PED SPRAY 50+ 50LF KDR 200ML,9,€ 251
Jan-24,Pharmacies,BIODERMA PHOTODERM AQUAFLU.HELL 40ML,12,€ 256
Jan-24,Pharmacies,BIODERMA SENS.DEF. SERUM 30ML,289,"€ 9,635"
Jan-24,Pharmacies,BIODERMA ATODERM SET INT.BAUM 2023--,17,€ 279
Jan-24,Pharmacies,BIODERMA SEBIUM SERUM 30ML,145,"€ 4,910"
Jan-24,Pharmacies,BIODERMA HYDRABIO SERUM HYALU. 30ML,220,"€ 7,223"
Jan-24,Pharmacies,BIODERMA PHOTO.LEB SONNENCREME 30LF 100ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHOTODERM EAU SOLAIRE 30LF 200ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHOTODERM SPRAY 50+ 50LF 300ML,0,€ 0
Jan-24,Pharmacies,BIODERMA SENSI.H2O REI.LOT.PUMP 850ML,0,€ 0
Jan-24,Pharmacies,BIODERMA CICABIO CREME+ 40ML,0,€ 0
Jan-24,Pharmacies,BIODERMA CICABIO CREME+ 50+ 50LF 40ML,0,€ 0
Jan-24,Pharmacies,BIODERM.PIGMENTBIO SERUM VIT.C 15ML,0,€ 0
Jan-24,Pharmacies,BIODERM.PIGMENTBIO TAGESPFL.50+ 50LF 40ML,0,€ 0
Jan-24,Pharmacies,BIODERM.PIGMENTBIO REINIGUNG 200ML,0,€ 0
Jan-24,Pharmacies,BIODERM.PIGMENTBIO H2O MIZ.REIN 250ML,0,€ 0
Jan-24,Pharmacies,BIODERM.PIGMENTBIO CR.NACHTPFL. 50ML,0,€ 0
Jan-24,Pharmacies,BIODERMA SENSIBIO CL.MICE.OIL 150ML,0,€ 0
Jan-24,Pharmacies,BIODERMA SEBIU.AKN SET,0,€ 0
Jan-24,Pharmacies,BIODERMA SEB.HYDRA BALM CLEANS. 200ML,0,€ 0
Jan-24,Pharmacies,BIODERMA ATODERM HUILE D DOU. 500ML,0,€ 0
Jan-24,Pharmacies,BIODERMA ATODERM CR.ULTR.PUMP 200ML,0,€ 0
Jan-24,Pharmacies,BIODERM.PIGMENTBIO CR.SENS.AREA 75ML,0,€ 0
Jan-24,Pharmacies,BIODERM.PIGMENTBIO H2O MIZ.REIN 2 250ML,0,€ 0
Jan-24,Pharmacies,BIODERMA SENSI.AR+ BI-SERUM 30ML,0,€ 0
Jan-24,Pharmacies,BIODERMA SENSI.AR+ CREME 40ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHOT.XDEF CR.UNGET.50+ 50LF 40ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHOT.XDEF CR.S.HE.50+ 50LF 40ML,0,€ 0
Jan-24,Pharmacies,BIODERMA PHOT.XDEF CR.HELL 50+ 50LF 40ML,0,€ 0
Jan-24,Pharmacies,BIODERMA SENSI.H2O MIZELL.WASS. 30-- 500ML,0,€ 0
Jan-24,Pharmacies,BIODERMA SENSI.AR+ SPRAY SOS 70ML,0,€ 0
Jan-24,Retailer,BIODERMA SENSI.H2O MIZELL.WASS. MILD 250ML,166,"€ 1,738"
Jan-24,Retailer,BIODERMA SEBIU.H2O REINIG.LOT. 250ML,47,€ 492
Jan-24,Retailer,BIODERMA SEBIUM PEELING GEL 100ML,53,€ 675
Jan-24,Retailer,BIODERMA SENSI.DS+ CREME 470-- 40ML,284,"€ 4,395"
Jan-24,Retailer,BIODERMA SENSI.RI. CREME RICH 40ML,0,€ 0
Jan-24,Retailer,BIODERMA SENSIB.AR CREME 40ML,856,"€ 16,012"
Jan-24,Retailer,BIODERMA NODE K SHAMP.SCHUPP 150ML,90,"€ 1,250"
Jan-24,Retailer,BIODERMA CICABIO WUNDPFLE.CRE 40ML,241,"€ 2,308"
Jan-24,Retailer,BIODERMA SENSI.H2O MIZELL.WASS. 500ML,"2,007","€ 27,820"
Jan-24,Retailer,BIODERMA SEBIU.H2O REINIG.LOT. 500ML,170,"€ 2,663"
Jan-24,Retailer,BIODERMA SEB.HYDRA CREME 40ML,596,"€ 8,330"
Jan-24,Retailer,BIODERMA SENSIBIO REINIG.MILCH 250ML,128,"€ 1,718"
Jan-24,Retailer,BIODERMA SENSIBIO GEL AUGENPFL 15ML,632,"€ 9,225"
Jan-24,Retailer,BIODERMA SENSI.MA. MASK.BERUHIG 75ML,127,"€ 2,153"
Jan-24,Retailer,BIODERMA HYDRABIO FEUCHT.MASKE 75ML,37,€ 687
Jan-24,Retailer,BIODERMA HYDRABIO SERUM FEUCHT 40ML,330,"€ 6,702"
Jan-24,Retailer,BIODERMA ATODER.PP BALSAM 200ML,91,"€ 1,351"
Jan-24,Retailer,BIODERMA ATODERM HANDCREME 50ML,229,"€ 1,371"
Jan-24,Retailer,BIODERMA SEBIUM REI.G.MOUSS. 7142-- 200ML,141,"€ 1,768"
Jan-24,Retailer,BIODERMA SEB.PO.RE CREME 30ML,189,"€ 3,021"
Jan-24,Retailer,BIODERMA NODE FL. SHAMPOO 200ML,74,€ 710
Jan-24,Retailer,BIODERMA HYDRABIO H2O 4IN1 MIZ 250ML,42,€ 494
Jan-24,Retailer,BIODERMA HYDRABIO GES.WASS.TON 200ML,280,"€ 3,578"
Jan-24,Retailer,BIODERMA SENSI.H2O MIZELL.WASS. 100ML,257,"€ 1,604"
