Keyword,Keyword Category,Clicks,Impression,CTR,Position,Clicks Change,Impression Change,CTR Change,Position Change
atopische haut,"Indication, Skin type",180,12896,1.4%,4.77,-9.5%,29.3%,-0.6%,0.58
trockene haut,"Skin problem, Skin type",162,64687,0.3%,11.66,25.6%,31.2%,0.0%,-0.7
hautrötungen im gesicht,Skin problem,146,5534,2.6%,3.52,33.9%,134.4%,-2.0%,1.18
apotheke essen hbf,Apotheke,124,3320,3.7%,4.24,853.8%,51.2%,3.1%,-3.78
dehydrierte haut,"Skin problem,  Skin type",90,6154,1.5%,4.98,-48.9%,22.4%,-2.0%,1.34
rötungen im gesicht,Skin problem,75,20692,0.4%,7.46,-73.7%,5.0%,-1.1%,3.02
sonnencreme rosacea,"Indication, Product Category",66,4771,1.4%,10.62,2100.0%,371.9%,1.1%,-13.51
atopie haut,Indication,57,3007,1.9%,3.75,-35.2%,0.4%,-1.0%,0.29
rosacea sonnencreme,"Indication, Product Category",49,3364,1.5%,8.96,4800.0%,1159.9%,1.1%,-11.42
sonnencreme bei rosacea,"Indication, Product Category, Question",43,3377,1.3%,10.47,0.0%,1677.4%,1.3%,-27.57
hautrötungen gesicht,Skin problem,43,1545,2.8%,2.49,-24.6%,12.8%,-1.4%,0.1
essen hbf apotheke,Apotheke,43,1017,4.2%,3.9,1333.3%,71.8%,3.7%,-3.92
wie sieht ein ekzem aus,"Indication, Question",41,5749,0.7%,6.92,0.0%,45.7%,-0.3%,-2.38
seborrhoisches ekzem oder schuppenflechte,"Indication, Question",39,563,6.9%,2.14,-62.9%,-9.2%,-10.0%,0.39
sonnenschutz rosacea,"Indication, Product Category",38,2697,1.4%,9.85,1800.0%,182.1%,1.2%,-3.44
gehen pickelmale von alleine weg,"Skin problem, Question",38,1005,3.8%,1.65,0.0%,-0.1%,0.0%,0.37
bb cream rosacea,"Indication, Product Category, Product Texture",36,1224,2.9%,5.79,100.0%,22.9%,1.1%,2.61
ekzem,Indication,35,7939,0.4%,22.9,150.0%,166.4%,0.0%,-5.23
dehydrierte haut behandeln,"Skin problem, Skin type",32,746,4.3%,3.36,45.5%,1.1%,1.3%,-1.84
melasma,Indication,30,28063,0.1%,11.29,87.5%,44.4%,0.0%,0.02
große schuppen kopfhaut,Skin problem,30,2861,1.0%,4.34,-36.2%,-11.0%,-0.4%,0.23
schuppenflechte oder seborrhoisches ekzem,"Indication, Question",30,140,21.4%,1.35,-41.2%,-28.2%,-4.7%,0.18
atopische diathese,Indication,25,4659,0.5%,6.7,-57.6%,5.8%,-0.8%,-0.03
pickelmale entfernen,Skin problem,24,3680,0.7%,16.1,-64.7%,-45.4%,-0.4%,6.09
ekzem arten,Indication,24,624,3.8%,4.93,118.2%,39.6%,1.4%,-0.84
plötzlich trockene haut im gesicht,"Skin problem, Skin type",23,3317,0.7%,8.54,-42.5%,23.1%,-0.8%,3.05
haut spannt im gesicht,Skin problem,23,781,2.9%,5.41,4.5%,27.6%,-0.6%,-0.31
psoriasis oder seborrhoisches ekzem,"Indication, Question",23,204,11.3%,2.16,9.5%,10.9%,-0.1%,0.28
seborrhoisches ekzem,Indication,22,1933,1.1%,25.3,-18.5%,-5.1%,-0.2%,3.24
sonnencreme gesicht rosacea,"Indication, Product Category",22,1248,1.8%,9.44,0.0%,1735.3%,1.8%,-21.99
dandruff deutsch,"Skin problem, Question",22,854,2.6%,2.23,0.0%,0.0%,2.6%,2.23
welches mizellenwasser bei rosacea,"Indication, Product Category, Question",21,238,8.8%,1.75,50.0%,88.9%,-2.3%,-0.49
schuppen kopfhaut,Skin problem,20,9084,0.2%,11.57,-87.9%,-73.9%,-0.3%,2.81
