Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Result,Result Rate,Cost per Result,Impressions,Clicks,CTR,CPC,CPM,Transaction,Revenue,ROAS,ACOS,CVR
Paid Search,e-retailers,Shop Apotheke,Jan-24,Conversion,Photderm,Transaction,"€ 6,480",27,2.90%,€ 240,"55,959",939,1.70%,€ 6.90,€ 115.80,27,€ 617,0.1,10.5,2.90%
Paid Search,e-retailers,Shop Apotheke,Jan-24,Conversion,Sebium,Transaction,"€ 4,613",39,6.20%,€ 118,46745,632,1.35%,€ 7.30,€ 98.70,39,€ 754,0.16,6.12,6.20%
Paid Search,e-retailers,Shop Apotheke,Jan-24,Conversion,Sensibio,Transaction,"€ 3,600",86,28.30%,€ 42,"37,588",304,0.80%,€ 11.80,€ 95.80,86,"€ 1,343",0.4,2.7,28.30%
Paid Search,e-retailers,Shop Apotheke,Jan-24,Conversion,Atoderm,Transaction,"€ 2,813",74,19.70%,€ 38,33218,376,1.13%,€ 7.50,€ 84.70,74,"€ 1,905",0.68,1.48,19.70%
Paid Search,e-retailers,Flaconi,Apr-25,Conversion,Bioderma Sensibio Gel Moussant Reinigungsgel 200 ml,Transaction,€ 50,22,43.10%,€ 2,"8,378",51,0.60%,€ 1.00,€ 6.00,22,€ 316,6.3,0.2,43.10%
Paid Search,e-retailers,Flaconi,Apr-25,Conversion,Bioderma Sensibio AR+ Anti-Rötungen-Pflege Tagescreme 40 ml,Transaction,€ 9,4,50.00%,€ 2,1365,8,0.59%,€ 1.10,€ 6.50,4,€ 80,9.06,0.11,50.00%
Paid Search,e-retailers,Flaconi,Apr-25,Conversion,Bioderma Atoderm Crème Ultra Reichhaltige Körpercreme für trockene Haut Bodylotion 500 ml,Transaction,€ 46,8,24.20%,€ 6,"8,984",33,0.40%,€ 1.40,€ 5.10,8,€ 192,4.2,0.2,24.20%
Paid Search,e-retailers,Flaconi,Apr-25,Conversion,Bioderma Pigmentbio C-Concentrate Aufhellende Vitamin C Nachtserum Anti-Pigmentflecken Nachtserum 15 ml,Transaction,€ 53,9,27.30%,€ 6,3676,33,0.90%,€ 1.60,€ 14.40,9,€ 232,4.38,0.23,27.30%
Paid Search,e-retailers,Flaconi,Apr-25,Conversion,Bioderma Pigmentbio Daily Care Aufhellende Tagespflege mit LSF50+ Sonnencreme 40 ml,Transaction,€ 66,9,14.80%,€ 7,"8,196",61,0.70%,€ 1.10,€ 8.10,9,€ 244,3.7,0.3,14.80%
Paid Search,e-retailers,Flaconi,Apr-25,Conversion,Bioderma Sensibio H2O Duopack Mizellenreinigungswasser für empfindliche Haut Make-up Entferner 1000 ml,Transaction,€ 216,31,20.30%,€ 7,42988,153,0.36%,€ 1.40,€ 5.00,31,€ 786,3.64,0.27,20.30%
