Retailer,2025 Sell In Target,2025 YTD Act Sell In,2025 % Sell In Target,2025 YTD Act Sell Out,2025 YTD Retailer Market Revenue Share %,2025 YTD Total Market Revenue Share %,2025 YTD BIODERMA Web Traffic Revenue,2025 YTD Retail Ad Revenue,2025 YTD Retail Ad  Spend,2025 Retail Ad Remaining Budget,2025 Retail Ad Total Budget,2025 YTD Retail Ad ROAS,2025 YTD Total ROAS,Revenue Generated by Unknown Sources,Revenue Share of BIODERMA Web Traffic %,Revenue Share of Retail Ads %,Revenue Share of Unknown Sources %,2026 Target
Shop Apotheke,"€ 1,050,000","€ 578,038",55%,"€ 847,682",48%,15%,"€ 15,080","€ 2,213","€ 41,493","€ 38,997","€ 80,490",0.05,20.43,"€ 830,389",1.78%,0.26%,97.96%,"€ 1,200,000"
DocMorris ,"€ 400,000","€ 166,317",42%,"€ 289,170",16%,5%,"€ 2,562", € -   ,"€ 37,287","€ 31,108","€ 68,395",0.00,7.76,"€ 286,608",0.89%,0.00%,99.11%,"€ 300,000"
MPK,"€ 250,000","€ 57,386",23%,"€ 140,790",8%,2%, € -   , € -   , € -   ,"€ 10,000","€ 10,000",0.00,0.00,"€ 140,790",0.00%,0.00%,100.00%,"€ 150,000"
ApoDiscounter,"€ 610,000","€ 192,686",32%,"€ 293,756",17%,5%,€ 971,"€ 12,345","€ 60,000","€ 13,000","€ 73,000",0.21,4.90,"€ 280,440",0.33%,4.20%,95.47%,"€ 425,000"
TNA,"€ 60,000","€ 42,774",71%,"€ 119,610",7%,2%, € -   , € -   , € -   ,€ 0,€ 0,0.00,0.00,"€ 119,610",0.00%,0.00%,100.00%,"€ 80,000"
Sanicare ,"€ 30,000","€ 7,416",25%,€ 819,0%,0%,€ 819, € -   , € -   ,€ 0,€ 0,0.00,0.00, € -   ,100.00%,0.00%,0.00%,"€ 20,000"
Flaconi ,"€ 240,000","€ 147,638",62%,"€ 15,472",1%,0%,€ 563,"€ 14,909","€ 61,448",€ 0,"€ 61,448",0.24,0.25, € -   ,3.64%,96.36%,0.00%,"€ 300,000"
MedPex,"€ 80,000", € -   ,0%,"€ 249,300",14%,4%,"€ 1,680", € -   , € -   ,€ 0,€ 0,0.00,0.00,"€ 247,620",0.67%,0.00%,99.33%,"€ 50,000"
Zalando,"€ 200,000", € -   ,0%,"€ 183,288",10%,3%, € -   , € -   , € -   ,"€ 28,000","€ 28,000",0.00,0.00,"€ 183,288",0.00%,0.00%,100.00%,"€ 150,000"
DM,"€ 150,000", € -   ,0%, € -   ,0%,0%, NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW ,"€ 150,000"
Douglas , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW 
Galaxus , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW 
DM Austria , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW , NEW 
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
